Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-09-19,1.79888,1.83636,1.68643,1.79146,13625.998990434
2012-09-20,1.71641,1.79888,1.64144,1.65652,8141.4139446971
2012-09-21,1.709,1.71641,1.66402,1.66402,1677.1519215369
2012-09-24,1.72391,1.72391,1.68643,1.72391,1370.85947075
2012-09-25,1.72391,1.72391,1.72391,1.72391,2430.8378397651
2012-09-26,1.72391,1.72391,1.709,1.709,760.56889465044
2012-09-27,1.72391,1.72391,1.71641,1.71641,493.27997692261
2012-09-28,1.72391,1.72391,1.709,1.709,186.98752613578
2012-10-01,1.71641,1.71641,1.68643,1.68643,1634.7069002668
2012-10-02,1.71641,1.72391,1.67152,1.67152,998.03158121551
2012-10-03,1.709,1.709,1.64894,1.66402,3450.6655129842
2012-10-04,1.68643,1.68643,1.61904,1.61904,519.66471987428
2012-10-05,1.68643,1.68643,1.68643,1.68643,213.37226908745
2012-10-08,1.69401,1.69401,1.69401,1.69401,136.51236570649
2012-10-09,1.709,1.709,1.62654,1.69401,1351.3577042205
2012-10-10,1.68643,1.68643,1.68643,1.68643,134.21804023243
2012-10-11,1.64894,1.64894,1.64894,1.64894,26.384742951674
2012-10-12,1.64894,1.64894,1.64894,1.64894,41.297858533056
2012-10-15,1.64894,1.64894,1.64894,1.64894,547.19662556299
2012-10-16,1.64894,1.69401,1.64894,1.69401,721.56536159145
2012-10-17,1.69401,1.69401,1.69401,1.69401,53.916648640378
2012-10-18,1.61904,1.61904,1.61904,1.61904,808.74972960567
2012-10-19,1.64894,1.64894,1.64894,1.64894,533.43067271864
2012-10-22,1.61154,1.61154,1.59646,1.59646,867.25502919417
2012-10-23,1.59646,1.59646,1.59646,1.59646,267.28891772783
2012-10-24,1.59646,1.59646,1.59646,1.59646,56.210974114437
2012-10-26,1.66402,1.66402,1.66402,1.66402,32.120556636821
2012-10-29,1.66402,1.66402,1.66402,1.66402,12.618790107323
2012-10-30,1.59646,1.59646,1.59646,1.59646,800.71959044647
2012-10-31,1.64894,1.64894,1.64894,1.64894,267.28891772783
2012-11-05,1.59646,1.59646,1.59646,1.59646,267.28891772783
2012-11-06,1.62654,1.64894,1.62654,1.64894,1007.2088831117
2012-11-07,1.64894,1.64894,1.64894,1.64894,26.384742951674
2012-11-08,1.64894,1.64894,1.64894,1.64894,134.21804023243
2012-11-09,1.64894,1.64894,1.64894,1.64894,53.916648640378
2012-11-12,1.66402,1.66402,1.64894,1.64894,73.418415169877
2012-11-13,1.66402,1.66402,1.66402,1.66402,26.384742951674
